success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
0,122.2,125.2571430206,0.6597469541,44.1578407331
0,87.2,89.8177380562,0.5808958436,19.6715241501
0,91.8,94.4339840412,0.6557559674,22.3966583502
0,87.8,90.4028480053,0.6035792098,15.992696306
0,90.2,92.792372942,0.5862951181,18.3167201366
0,53.2,55.7131319046,0.4558061504,17.3134444621
0,87.2,89.7930190563,0.6433401927,25.7236192512
0,53.4,55.9439549446,0.4906430459,13.8526241023
0,125.2,127.9054839611,0.7074928186,33.5854897252
0,87.8,90.439011097,0.5878283907,18.6919131485
0,90,92.6001191139,0.651480463,21.328937638
0,121,123.6542408466,0.6129915313,59.2705676498
0,123.6,126.2704968452,0.6467186081,46.8259457219
0,123.2,125.8682231903,0.6845055694,38.903426274
0,86.8,89.3793740273,0.6267425748,29.3594327345
0,123.8,126.5263659954,0.6631958412,40.745537648
0,87.2,89.7804238796,0.6518488561,23.7599338524
0,123.6,126.2737801075,0.6782253717,39.6202715054
0,122.6,125.282971859,0.6732901418,41.1556695733
0,53,55.5105018616,0.490429586,14.5025567966
0,180.2,182.9986600876,0.7017063536,62.2220687142
0,53.2,55.7343740463,0.4520826423,5.2709762048
0,123.4,126.0672440529,0.6157928703,45.0819793923
0,119.6,122.3259119987,0.5862839554,62.033500985
0,180.2,183.0224871635,0.6433661469,86.8405094175
0,87.8,90.4100339413,0.6285740195,22.2243960626
0,121.2,123.8787999153,0.649975441,52.0856699031
0,53.2,55.7303438187,0.4549723301,10.8832365024
0,124.4,127.0814270973,0.6934817027,37.5464097585
0,121,123.6804058552,0.6871015043,41.2173470974
0,86.6,89.2114651203,0.5829340832,19.5128079407
0,125,127.7400960922,0.6952423641,33.5554463242
0,53.6,56.141933918,0.4656954191,8.0301335458
0,53.4,55.9391360283,0.4924094395,14.0619659463
0,87.2,89.7976968288,0.6362398792,22.5541242689
0,52.8,55.3655900955,0.4890696798,17.5638497365
0,87.8,90.4091660976,0.6129054903,30.2688733064
0,88,90.6149089336,0.5927955533,15.7361876633
0,124.4,127.1132209301,0.6679540356,46.0835950092
0,87.8,90.4684410095,0.6581245875,26.7434924389
0,88.4,91.0371499062,0.6276569351,27.9030401519
0,123.4,126.090610981,0.7123172227,31.596328276
0,92.4,95.0327460766,0.5802064147,18.5363709668
0,55.8,58.3663790226,0.4933217411,11.9772102379
0,121,123.6719260216,0.6738039103,46.3113018181
0,87.4,90.0072829723,0.5846111576,18.3633364537
0,55,57.5728838444,0.4892075449,12.8188114834
0,123.2,125.902916193,0.6672798939,48.7779462174
0,53.4,55.943295002,0.4893279949,14.0599414467
0,52.6,55.1629521847,0.4869044076,15.387685694
